type	subtype	arg	questions
Business	Declare-Bankruptcy	Place	Where the event takes place?
		Org	What declare bankruptcy?
	End-Org	Place	Where the event takes place?
		Org	What is ended?
	Merge-Org	Org	What is merged?
	Start-Org	Org	What is started?
		Place	Where the event takes place?
		Agent	Who is the founder?
Conflict	Attack	Place	Where the event takes place?
		Target	Who is the target?
		Attacker	Who is the attacking agent?
		Instrument	What is the instrument used?
	Demonstrate	Entity	Who is demonstrating agent?
		Place	Where the event takes place?
Justice	Acquit	Defendant	Who is the defendant?
		Adjudicator	What is the judge?
	Appeal	Adjudicator	What is the judge?
		Defendant	Who is the defendant?
		Place	Where the event takes place?
	Arrest-Jail	Person	Who is jailed?
		Agent	Who is the jailor?
		Place	Where the event takes place?
	Charge-Indict	Adjudicator	What is the judge?
		Defendant	Who is the defendant?
		Prosecutor	Who is the prosecuting agent?
		Place	Where the event takes place?
	Convict	Defendant	Who is the defendant?
		Adjudicator	What is the judge?
		Place	Where the event takes place?
	Execute	Place	Where the event takes place?
		Agent	Who carry out the execution?
		Person	Who was executed?
	Extradite	Origin	What is original location of the person being extradited?
		Destination	Where the person is extradited to?
		Agent	Who is the extraditing agent?
	Fine	Entity	What is fined?
		Adjudicator	What is the judge?
		Place	Where the event takes place?
	Pardon	Adjudicator	What is the judge?
		Place	Where the event takes place?
		Defendant	Who is the defendant?
	Release-Parole	Entity	Who will do the release?
		Person	Who is released?
		Place	Where the event takes place?
	Sentence	Defendant	Who is the defendant?
		Adjudicator	What is the judge?
		Place	Where the event takes place?
	Sue	Plaintiff	What is the plaintiff?
		Defendant	Who is the defendant?
		Adjudicator	What is the judge?
		Place	Where the event takes place?
	Trial-Hearing	Defendant	Who is the defendant?
		Place	Where the event takes place?
		Adjudicator	What is the judge?
		Prosecutor	Who is the prosecuting agent?
Life	Be-Born	Place	Where the event takes place?
		Person	Who is born?
	Die	Victim	Who died?
		Agent	Who is the killer?
		Place	Where the event takes place?
		Instrument	What is the instrument used?
	Divorce	Person	Who are divorced?
		Place	Where the event takes place?
	Injure	Victim	Who is victim?
		Agent	Who is the attacking agent?
		Place	Where the event takes place?
		Instrument	What is the instrument used?
	Marry	Person	Who are married?
		Place	Where the event takes place?
Movement	Transport	Vehicle	What is the vehicle used?
		Artifact	What is being transported?
		Destination	Where the transporting is directed?
		Agent	Who is responsible for the transport event?
		Origin	Where the transporting originated?
Personnel	Elect	Person	Who is elected?
		Agent	Who voted?
		Place	Where the event takes place?
	End-Position	Entity	Who is the employer?
		Person	Who is the employee?
		Place	Where the event takes place?
	Nominate	Person	Who is nominated?
		Agent	Who is the nominating agent?
	Start-Position	Person	Who is the employee?
		Entity	Who is the employer?
		Place	Where the event takes place?
Transaction	Transfer-Money	Giver	Who is the donating agent?
		Recipient	Who is the recipient?
		Beneficiary	Who benefits from the transfer?
		Place	Where the event takes place?
	Transfer-Ownership	Buyer	Who is the buying agent?
		Artifact	What was bought?
		Seller	Who is the selling agent?
		Place	Where the event takes place?
		Beneficiary	Who benefits from the transaction?
Contact	Meet	Entity	Who is meeting?
		Place	Where the event takes place?
	Phone-Write	Entity	Who is communicating agents?
